"Date","Price","Open","High","Low","Change %"
"12-07-2024","6.986","6.975","6.988","6.972","0.06%"
"11-07-2024","6.982","6.982","6.982","6.982","0.09%"
"10-07-2024","6.976","6.995","6.995","6.975","-0.19%"
"09-07-2024","6.989","7.006","7.006","6.983","0.00%"
"08-07-2024","6.989","6.989","6.991","6.983","-0.06%"
"05-07-2024","6.993","7.016","7.016","6.987","-0.07%"
"04-07-2024","6.998","6.992","7.001","6.989","-0.04%"
"03-07-2024","7.001","7.009","7.009","6.999","-0.11%"
"02-07-2024","7.009","7.009","7.009","7.009","-0.06%"
"01-07-2024","7.013","7.023","7.024","7.010","0.07%"
"28-06-2024","7.008","6.998","7.020","6.992","0.11%"
"27-06-2024","7.000","7.006","7.009","6.987","0.04%"
"26-06-2024","6.997","6.998","7.001","6.984","0.20%"
"25-06-2024","6.983","6.972","6.989","6.969","0.17%"
"24-06-2024","6.971","6.979","6.979","6.954","-0.03%"
"21-06-2024","6.973","6.984","6.984","6.972","-0.04%"
"20-06-2024","6.976","6.984","6.984","6.970","0.03%"
"19-06-2024","6.974","6.981","6.981","6.964","-0.10%"
"18-06-2024","6.981","6.998","6.998","6.981","-0.04%"
"14-06-2024","6.984","6.980","6.991","6.975","-0.03%"
"13-06-2024","6.986","7.003","7.003","6.985","-0.37%"
"12-06-2024","7.012","7.012","7.015","7.007","-0.03%"
"11-06-2024","7.014","7.055","7.055","7.012","-0.26%"
"10-06-2024","7.032","7.048","7.048","7.027","0.20%"
