Date,Open,High,Low,Close,Adj Close,Volume
2024-06-10,30599.94921875,30929.94921875,30563.80078125,30764.75,30764.75,12586
2024-06-11,30765.099609375,31598.94921875,30650.0,31174.0,31174.0,39791
2024-06-12,31255.0,31550.0,31160.0,31411.30078125,31411.30078125,18859
2024-06-13,31550.69921875,32683.25,31450.80078125,32433.150390625,32433.150390625,56576
2024-06-14,32680.0,32927.94921875,31980.0,32327.80078125,32327.80078125,57427
2024-06-18,32355.599609375,34350.0,32355.599609375,33379.19921875,33379.19921875,156530
2024-06-19,33400.0,33592.5,32606.400390625,32892.55078125,32892.55078125,42616
2024-06-20,33050.0,33301.25,32201.55078125,32254.69921875,32254.69921875,45408
2024-06-21,32254.69921875,32800.0,32064.94921875,32606.349609375,32606.349609375,45227
2024-06-24,32600.0,33095.0,32200.0,33015.5,33015.5,27730
2024-06-25,33075.0,33919.94921875,33075.0,33817.94921875,33817.94921875,54500
2024-06-26,33817.94921875,34426.8984375,33450.05078125,34149.3984375,34149.3984375,35727
2024-06-27,34300.0,36678.0,33980.0,34749.6484375,34749.6484375,107957
2024-06-28,34785.0,34785.0,33965.80078125,34084.3984375,34084.3984375,58629
2024-07-01,34000.05078125,34479.8515625,33702.1484375,34249.94921875,34249.94921875,30255
2024-07-02,34460.0,35099.0,34300.05078125,34644.80078125,34644.80078125,35059
2024-07-03,34775.0,35080.5,34419.69921875,34546.44921875,34546.44921875,23302
2024-07-04,34750.0,35331.44921875,34571.0,35276.3984375,35276.3984375,27710
2024-07-05,35000.0,35680.0,34944.0,35074.0,35074.0,33743
2024-07-08,35172.1015625,35484.0,34342.5,34412.30078125,34412.30078125,28099
2024-07-09,34700.0,35753.0,34556.0,35612.44921875,35612.44921875,30550
2024-07-10,35649.94921875,35675.0,34867.5,35389.94921875,35389.94921875,30144
2024-07-11,35450.0,35777.80078125,35300.6484375,35611.25,35611.25,23755
